,,,,,,,,positive,start trigger,stop trigger,,,,,,,,,,,,,,,,
#,Organised Crime,Organized Crime,"Large organized gangs of serious criminals are now targeting our country. We do not have the resources to deal with them, and they are causing serious problems including higher levels of street crime and violent crime, as well as supplying drugs and guns.",LAWANDORDER,sit_icons_organisedcrime.dds,The serious crime dept. has reported that we now have a major problem with organized crime.,"The police have now cracked the problem with organized crime, and the crime lords are now behind bars.",0,0.6,0.4,50,0,"_default_,0.75","IDCards,0-(0.1*x)","IntelligenceServices,0-(0.3*x)","PhoneTapping,0-(0.24*x)","Gambling,0+(0.45*x)","ArmedPolice,0-(0.17*x)","Narcotics,0-(0.15*x)","PoliceDrones,-0.1-(0.05*x)","LegaliseProstitution,-0.05-(0.1*x)",#,"CrimeRate,0.1+(0.2*x)","ViolentCrimeRate,0+(0.2*x)",,
#,Alcoholism,Alcohol Abuse,We have a serious problem with people consuming alcohol in large quantities. This is obviously bad for their health but its also leading to crime and disorder in our cities. ,LAWANDORDER,sit_icons_alcoholism.dds,A new problem of 'Alcohol Abuse' where our citizens consume unhealthy amounts of alcohol has started to cause problems on our streets.,The phenomena of 'Alcohol Abuse' has apparently subsided.,0,0.6,0.4,2000,0,"_default_,0.4","PovertyRate,0+(0.2*x),4","Unemployment,0+(0.22*x),4","CommunityPolicing,-0.1-(0.25*x),4","AlcoholConsumption,0+(0.9*x)","PoliceForce,0-(0.15*x)",#,"Health,0-(0.12*x)","CrimeRate,0+(0.2*x)",,,,,
#,VigilanteMobs,Vigilante Mobs,"Our citizens have lost all faith in the ability of the police to beat crime. They have started to take matters into the own hands, resulting in often violent mobs handing out street justice on the spot. This is only leading to more disorder and more crime.",LAWANDORDER,sit_icons_vigilantemobs.dds,"The media is reporting on vigilante mobs who are taking the law into their own hands, often violently.",There are no longer vigilante mobs on our streets and people are trusting the authorities to enforce law and order again.,0,0.6,0.4,0,0,"_default_,0.3","CrimeRate,0+(1.0*x)","PoliceForce,0-(0.6*x)","CCTVCameras,-0.1-(0.1*x)","RacialTension,0+(0.1*x)","DeathPenalty,-0.1-(0.05*x)",#,"Conservatives,-0.2-(0.3*x)","Conservatives_freq,0.04+(0.04*x),2","Tourism,-0.08-(0.05*x)",,,,
#,ArmedRobbery,Armed Robbery,"Our country is seen as a safe place for people to carry out armed robbery, with little chance of being caught by the police. This wave of armed robbery stretches from high street banks to the local corner shop.",LAWANDORDER,sit_icons_armedrobbery.dds,An epidemic of armed robbery is sweeping the nation.,Great news from the bureau of crime statistics! There has been a noticeable fall in the incidence of armed robberies. Our shopkeepers will be breaking out the champagne!,0,0.6,0.4,0,0,"ViolentCrimeRate,0+(0.84*x)","Tasers,-0.1-(0.1*x)","HandgunLaws,0.24-(0.4*x)","ArmedPolice,0-(0.6*x)","CCTVCameras,0-(0.4*x)",#,"Retired,-0.15-(0.4*x)","Conservatives,-0.2-(0.3*x)",,,,,,
#,ContagiousDisease,Contagious Disease,Our population is falling for a highly contagious illness that is keeping record numbers of people away from work. This is obviously going to have a negative effect on the economy as well as reducing everyone's quality of life.,PUBLICSERVICES,sit_icons_contagiousdisease.dds,A highly contagious and disabling disease has taken hold amongst our population. This is probably attributable to poor levels of public health or possibly high pollution.,The contagious disease that has ravaged our population has finally been eliminated thanks to excellent work by doctors and scientists. You can now leave your home again!,0,0.6,0.4,40,0,"_default_,0.4","PovertyRate,0+(0.5*x)","StateHealthService,0-(0.4*x)","PrivateHealthcare,0-(0.4*x)",#,"WorkerProductivity,-0.10-(0.06*x)","Tourism,-0.1-(0.1*x)","_All_,-0.2-(0.1*x)","Health,-0.1-(0.1*x)","Retired_freq,-0.1-(0.05*x)",,,,
#,TeachersStrike,Teachers Strike,"The teachers union has called for a national strike, which means our young citizens aren't receiving an education right now. Naturally, parents are outraged and businesses will be concerned that the future workforce isn't getting a real education.",PUBLICSERVICES,sit_icons_teachersstrike.dds,Teachers and other education workers have walked out on strike in protest against the government.,Great News! The teachers strike has been called off and the children can now return to school. Don't expect them to be happy about it though…,0,0.6,0.4,150,0,"_default_,0.88","_prereq_,StateSchools","Unemployment,0-(x^2)","StateSchools,0-(0.73*x)","UniversityGrants,0-(0.18*x)","LabourLaws,-0.2+(0.4*x)","PrivateSchools,0-(0.73*x)",#,"Parents,0-(0.4*x)","Education,-0.05-(0.05*x)",,,,
#,AsthmaEpidemic,Asthma Epidemic,"Asthma and other lung diseases are a serious problem amongst our citizens. Not only does this obviously severely impact their quality of life, but its also reducing our productivity, and filling our hospital beds. Poor air quality, possibly caused by factory pollution and car fumes, together with smoking are the likely causes.",PUBLICSERVICES,sit_icons_asthmaepidemic.dds,"An asthma epidemic is sweeping through the nation's children, asthma is now a common problem.",Good news on the health front! Doctors are happy to report that asthma levels have dropped significantly and are back to acceptable levels.,0,0.6,0.4,90,0,"_default_,0.8","Environment,0-(0.6*x)","CarUsage,0 + (0.2*x)",#,"WorkerProductivity,-0.02-(0.03*x)","Parents,-0.4-(0*x)",,,,,,,,
#,HospitalOvercrowding,Hospital Overcrowding,"There simply aren't enough hospital places to go round. The problem is especially bad amongst the poor, who cannot afford private healthcare. People waiting in a queue for a vital operation are naturally not inclined to vote for your government again.",PUBLICSERVICES,sit_icons_hospitalovercrowding.dds,Doctors complain that our hospitals are seriously overcrowded. The media is reporting cases where patients are kept waiting for long periods.,Hospital bed occupancy rates have fallen and doctors are pleased to report that there are no longer unacceptable waiting lists for routine operations. Hurrah!,0,0.6,0.4,0,0,"_default_,0.6","Immigration,0+(0.2*x)","Health,0+(0.12*x)","StateHealthService,-0.05-(0.55*x)","ViolentCrimeRate,0+(0.2*x)","PrivateHealthcare,0-(0.30*x)",#,"Parents,-0.2-(0.5*x)","Retired,-0.2-(0.45*x)",,,,,
#,DrugAddiction,Drug Addiction,Hard drugs are being traded freely on our streets. Our young citizens especially are becoming addicted to dangerous drugs. This is likely to fuel crime as well as being a disaster for the future health of our citizens.,PUBLICSERVICES,sit_icons_drugaddiction.dds,Recent studies indicate a serious problem with addiction to hard drugs amongst our population.,"The level of drug addiction within the population has dropped back to negligible levels. This is likely to cause a drop in crime levels, which will make everyone happy.",0,0.6,0.4,0,0,"_default_,0.6","Narcotics,-0.2+(0.6*x)","PoliceForce,0-(0.27*x)","StateHealthService,0-(0.10*x)","Unemployment,0+(0.13*x)",#,"CrimeRate,0.1+(0.05*x)","WorkerProductivity,-0.05-(0.05*x)","Health,-0.1-(0.1*x)",,"Parents,-0.2-(0.19*x)",,,
#,TeacherShortage,Teacher Shortage,We just don't have enough people wanting to work in our schools. We probably need to invest more money if we are going to be able to keep classroom sizes small and ensure our children get a decent education. Right now children just aren't learning the way they should.,PUBLICSERVICES,sit_icons_teachershortage.dds,Head Teachers complain to you that there simply aren't enough teachers to educate our younger citizens.,"The earlier problems with a shortage of teachers have now eased considerably. Children no longer have to learn everything from cartoons and comics, which will mean higher literacy rates and happier parents.",0,0.6,0.4,0,0,"_default_,0.8","_prereq_,StateSchools","StateSchools,0-(0.51*x)","Immigration,0-(0.49*x)","PrivateSchools,0-(0.51*x)",#,"Education,-0.1-(0.1*x)","Parents,-0.1-(0.3*x)",,,,,,
#,DoctorsStrike,Doctors Strike,"It takes a lot for medical professionals to refuse to work, but the state of our health provision and the salaries of our health workers has resulted in a national health strike. This has an immediate and devastating effect on those who use the health services regularly.",PUBLICSERVICES,sit_icons_doctorsstrike.dds,"Doctors and other health workers are on strike, protesting about government policies.","The health workers strike has been called off, and the doctors have returned to work.",0,0.6,0.4,150,0,"_default_,0.5","_prereq_,StateHealthService","StateHealthService,-0.55*(x^7)","Unemployment,0-(x^7)","LabourLaws,0-(0.3*x)","PrivateHealthcare,-0.55*(x^7)",#,"Parents,0-(0.4*x)","Health,-0.22-(0.1*x)",,,,,
#,BrainDrain,Brain Drain,Our tax system is encouraging the best and brightest entrepreneurs to leave the country altogether and make money elsewhere. As a result we are losing out both on their knowledge and skills and also the potential tax revenue from them and their companies. This may be a sign that we are overtaxing the wealthy and successful.,TAX,sit_icons_braindrain.dds,"There has been a sudden huge leap in the number of our skilled citizens leaving the country to work elsewhere, tempted by better prospects abroad.",The 'Brain Drain' is coming to an end as we persuade our best and brightest citizens to make this country their home. This will keep businesses happy and no doubt boost our GDP.,0,0.6,0.4,0,0,"IncomeTax,0.35+(x^6)","LuxuryGoodsTax,0.3+(0.4*x),4","TaxShelters,-0.2-(0.3*x),4","MansionTax,0.1+(0.1*x),4",#,"GDP,-0.12-(0.11*x),2","Capitalist_freq,-0.05-(0.1*x)","WorkerProductivity,-0.05-(0.05*x)",,,,,,
#,PetrolProtests,Petrol Protests,"High levels of fuel tax have led to a small number of highly vocal citizens staging street protests and demonstrations at both gas stations and the depots from which fuel tankers are dispatched. This is resulting in queues at some gas stations and total closures at others.  Business will suffer badly if drivers cannot fill their tanks, and motorists are not surprisingly outraged.",TAX,sit_icons_petrolprotests.dds,Protesters have gathered outside petrol depots to protest about petrol prices. They are interrupting the supply of petrol to petrol stations.,"The petrol protestors have stopped their protests and the tankers are travelling freely again. This will be both good news for the economy, and it will cheer up everyone who was inconvenienced.",0,0.6,0.4,100,0,"PetrolTax,0+(0.8*x),1","PovertyRate,0+(0.1*x)","Curfews,0-(0.4*x)","DetentionWithoutTrial,-0.1-(0.1*x)","OilPrice,-0.1+(0.2*x)",#,"GDP,-0.1-(0.2*x)","_All_,-0.1+(0*x)","Motorist,-0.2-(0.2*x)","CarUsage,-0.26-(0*x)",,,,
#,BlackMarket,Black Market,"Every economy has a black market, but the situation has started to get out of control. People are increasingly working for cash in order to dodge paying income and corporation tax, and people who are claiming state benefits are also working and not declaring the income. This may be a sign that the citizens consider themselves over taxed and not sufficiently supported by the state.",TAX,sit_icons_blackmarket.dds,Fraud experts at the tax office tell you that we have a significant 'black market' with people avoiding paying the correct amount of tax,Official tax department reports indicate a significant drop in the size of the 'black market' of untaxed work. A smaller black market will have a beneficial knock-on effect on the crime rate.,0,0.6,0.4,4000,0,"CorporationTax,0+(0.3*x),4","IncomeTax,-0.13+(0.72*x),4","UnemployedBenefit,0-(0.3*x)","SalesTax,0+(0.34*x),4",#,"CrimeRate,0.05+(0.05*x)",,,,,,,,
#,TaxEvasion,Tax Evasion,"There is always a small section of society determined to avoid paying their fair share of taxes, but tax evasion has turned into an epidemic, with inspectors unable to cope with the number of scams and evaders.",TAX,sit_icons_taxevasion.dds,Tax inspectors report a surge in tax evasion with large sums of money going unpaid.,The level of tax evasion in the economy has declined back to acceptable levels. This is great news because we will take more money in from taxes without the negative political effects of raising the levels.,0,0.6,0.4,0,0,"_default_,0.3","CorporationTax,0.3*(x^2),4","IncomeTax,0.5*(x^2),4","CapitalGainsTax,0.12*(x^2),4","FlatTax,0.6*(x^4),4","SalesTax,0.22*(x^2),4",#,,,,,,,
#,Rail Strike,Rail Strike,"Rail employees are not turning up to work. They are asking for greater investment in the rail network. Our rail system is currently paralyzed which is causing total mayhem for business, and huge resentment amongst commuters.",TRANSPORT,sit_icons_railstrike.dds,A major rail strike is now underway.,"The rail strike is over and the trains are moving again at last! Obviously commuters will be relieved, and so will businesses who ship freight by train, which is good news for the economy.",0,0.6,0.4,0,0,"_default_,1.0","_prereq_,RailSubsidies","RailSubsidies,0-(1.0*x)","_LowIncome,0-(0.2*x)","LabourLaws,-0.3+(0.3*x)","Unemployment,0-(x^7)",#,"Commuter,-0.4*(RailUsage*x)","GDP,-0.16*(RailUsage*x)",,,,,
#,Homelessness,Homelessness,"More and more of our citizens are homeless and have taken to sleeping in the streets. This is having knock-on effects in the areas of crime and violent crime, and is also reducing everyone's quality of life. Something needs to be done to provide homes for these people!",WELFARE,sit_icons_homelessness.dds,"We now have a homelessness problem. Many of our cities have people sleeping in the streets, often begging for money.","We no longer have a problem with homelessness and people sleeping on our streets. This will cheer up our more liberal citizens, socialists, and of course the poorer members of our society.",0,0.6,0.4,10,0,"_default_,0.1","PovertyRate,0+(0.9*x)","StateHousing,0-(0.4*x)","PrivateHousing,0-(0.4*x)","UnemployedBenefit,0-(0.3*x)","Unemployment,0+(0.9*x)","MortgageTaxRelief,-0.04-(0.04*x)","PropertyTax,0+(0.04*x)","Immigration,0+(0.06*x),4",#,"Liberal,-0.09-(0.09*x)","Poor,-0.24-(0.3*x)","MiddleIncome,-0.06-(0.05*x)","CrimeRate,0.04+(0.04*x)"
#,ClassWarfare,Class Warfare,"Inequality has grown so stark that people have actually taken to the streets to redress the difference between rich and poor. Burning cars, smashed windows, angry mobs, this is a sign of society literally collapsing around us.",WELFARE,sit_icons_classwarfare.dds,"Violent gangs have taken the issue of 'class war' to the streets, with major companies and wealthy areas being the target of violence and vandalism.","Security chiefs report that the class-war that has plagued our streets is now over. This is great news as it means less crime, and obviously our wealthier citizens will be especially relieved that this threat is over.",0,0.6,0.4,0,0,"CCTVCameras,-0.1-(0.1*x),3","Equality,0.9-(1.2*x),3","ArmedPolice,-0.2-(0.14*x),2","Curfews,-0.1-(0.05*x),1","PovertyRate,0+(0.25*x),4","PoliceForce,0-(0.12*x),2","PoliceDrones,-0.1-(0.05*x)",#,"ViolentCrimeRate,0.2+(0.2*x)","Conservatives,-0.2-(0.3*x)","Poor,-0.3-(0.25*x)","Wealthy,-0.4-(0.4*x)","Capitalist,-0.3-(0.2*x)","_global_socialism,0.05+(0.1*x)"
#,Gridlock,Gridlock,"Chronic congestion leading to virtual paralysis of the transport infrastructure. There comes a point where traffic congestion is so bad, nobody can get anywhere!",TRANSPORT,sit_icons_gridlock.dds,Traffic congestion has reached a state of permanent gridlock.,"The traffic gridlock has now eased and average speeds are faster than a snails pace again, so commuters and motorists will be very relieved. This also means learning to drive will no longer seem futile for our citizens.",0,0.6,0.4,0,0,"TrafficCongestion,0+(x^5)",#,"Commuter,-0.2-(0.5*x)","Motorist_freq,-0.09-(0.05*x)","Motorist,-0.5-(0.35*x)","GDP,-0.06-(0.06*x)",,,,,,,,
#,InternetCrime,Internet Crime,With our high levels of Internet usage and other technological items we are seeing a sharp rise in Internet Crimes. Computer viruses that no longer simply break the target computer but hide themselves and steal the users private information until detected (often to steal bank passwords or commit identity fraud) or hijack that computer and use it to perform further crime that's difficult to trace back to the original source.,LAWANDORDER,sit_icons_internetcrime.dds,Reports indicate that internet crime is becoming quite common.,The instances of internet crime within our country have fallen dramatically and are no longer a major concern.,0,0.6,0.4,0,0,"Technology,0.85*(x^2),4","CrimeRate,0+(x*0.25)","Organised Crime,0+(0.11*x)","InternetCensorship,-0.1-(0.3*x),6","InternetTax,-0.05-(0.25*x),2","IntelligenceServices,-0.3*(x^3),10",#,"_All_,-0.01-(0.11*x)","CrimeRate,0.04+(0.08*x),2","_security_,-0.01-(0.05*x)","GDP,-0.02-(0.03*x)",,,
#,DebtCrisis,Debt Crisis,"Our level of government debt has started to cause severe fiscal problems. The governments debt has pushed interest rates so high that mortgage costs are becoming unaffordable for the middle classes. At the same time, fears about a possible government default on it's debts are driving away business investment from overseas, affecting our GDP, and these fears are also affecting small and large business alike. ",ECONOMY,sit_icons_debtcrisis.dds,The country is now in the middle of a debt crisis.,Concerns about government debt levels are now lowering.,0,0.6,0.4,0,0,"_global_interest_rates_,0.2*(x^4)","_effectivedebt_,0+(x^4)",#,"Capitalist,-0.3-(0.5*x)","SelfEmployed,-0.3-(0.25*x)","MiddleIncome,-0.2-(0.3*x)","_MiddleIncome,-0.2-(0.4*x)","_All_,-0.2-(0.2*x)","GDP,-0.2-(0.2*x),2",,,,,
#,CorporateExodus,Corporate Exodus,Our lack of business friendly policies are forcing international companies to close down factories and offices and move their business to other countries.,ECONOMY,sit_icons_corporateexodus.dds,There are concerns that a large number of companies are leaving the country,Concerns about a corporate exodus from our country have subsided.,0,0.6,0.4,0,0,"LabourLaws,-0.3+(0.6*x),4","CorporationTax,0+(0.9*x),4","WorkSafetyLaw,0.1+(0.1*x),4","MaternityLeave,0.02+(0.03*x),4","CarbonTax,0.02+(0.04*x),4","TaxShelters,-0.05-(0.15*x),4",#,"GDP,-0.05-(0.22*x)","Capitalist,-0.05-(0.05*x)",,,,,
#,RaceRiots,Race Riots,"Our streets are awash with violent clashes between different ethnic groups, meaning many of our citizens are afraid to go out at night. This also looks terrible to overseas visitors or businesses considering setting up in our country.",LAWANDORDER,sit_icons_raceriots.dds,"Race riots have broken out on our streets, a symptom of the serious deterioration of race relations.",The problem with race riots has now been bought under control.,0,0.6,0.4,0,0,"RacialTension,0+(x^3),4","CCTVCameras,0-(0.1*x)","ArmedPolice,-0.2-(0.1*x)","Curfews,-0.1-(0.1*x)","ViolentCrimeRate,0+(0.2*x)","Unemployment,0+(0.2*x),4","PoliceDrones,-0.1-(0.05*x)","Tasers,-0.05-(0.05*x)",#,"Conservatives,-0.2-(0.3*x)","_All_,-0.1-(0.12*x)","GDP,-0.02-(0.01*x),2","Immigration,-0.04-(0.06*x),4",
#,Ghettos,Ghettos,"A combination of immigration, street crime and racial tension has led to our communities splintering into ghettos for different racial groups, which is a sad reflection on the state of our society.",LAWANDORDER,sit_icons_ghettos.dds,A worrying phenomena of racial ghettos is becoming apparent in our country. It is a concern that people from ethnic minorities are clustering together for their own safety in fear of crime.,"The problem of racial ghettos has eased in our country, with people of all races living happily side by side.",0,0.6,0.4,0,0,"RacialTension,0+(x^3),16","VigilanteMobs,0.1+(0.3*x),16","StreetGangs,0.3+(0.2*x),12","Immigration,0+(0.25*x),8",#,"Liberal,-0.1-(0.1*x)","EthnicMinorities,-0.1-(0.12*x)","Equality,-0.05-(0.1*x),4","Immigration,-0.05-(0.07*x),12",,,,,
#,Obesity,Obesity,"Too many of our citizens are eating badly, possibly due to an abundance of junk food at cheap prices. This will have knock on effects for lifespan and for healthcare costs.",PUBLICSERVICES,sit_icons_obesity.dds,"There is a worrying trend of obesity amongst our citizens, which will shorten peoples lifespan and increase health costs.",We are happy to report that the obesity problem now seems to be under control.,0,0.6,0.4,0,0,"_default_,0.3","AgricultureSubsidies,0.1+(0.32*x),8","GDP,0+(0.45*x),8","StateHealthService,-0.2*(x^6),12","PrivateHealthcare,-0.2*(x^6),12","JunkFoodTax,-0.16-(0.15*x),10","OrganicSubsidy,-0.05-(0.072*x),8","HealthFoodSubsidies,-0.12-(0.14*x),9",#,"Health,0-(0.16*x)","StateHealthService_cost,0.05+(0.15*x),6","HealthTaxCredits_cost,0.05+(0.15*x),6","HealthcareVouchers_cost,0.05+(0.15*x),6",
#,CyberWarfare,Cyber Warfare,"Our nation suffers from a serious problem of deliberate cyber-warfare conducted by a combination of rival governments, criminal organizations and international terror groups. By paralyzing our internet infrastructure, these attacks can cause widespread chaos. There is also a problem of trade secrets being stolen by foreign companies which will affect our competitiveness abroad and thus our GDP.",FOREIGNPOLICY,sit_icons_cyberwarfare.dds,"We have been alerted to a significant problem of cyber warfare against our businesses and infrastructure, which is having a damaging effect on our economy.",Our experts are glad to announce that the threat of cyber-warfare against our nation is now greatly reduced.,0,0.6,0.4,0,0,"GDP,-0.3+(1.0*x),4","Technology,-0.3+(0.65*x),8","ForeignRelations,0.27-(x*0.75)","InternetCensorship,0-(0.22*x),4","IntelligenceServices,-0.32*(x^4),6",,"MilitarySpending,-0.1*(x^8)",#,"GDP,-0.1-(0.15*x)",,,,,
